"road_indx","lower95","upper_95","median","mean","b","b_within_interval"
1,6.83789314913363,6.93600302430897,6.88423651719154,6.88507093613334,6.86773094628834,TRUE
2,8.80818710704462,11.9329341433793,10.3804827396459,10.3264245106515,10.9182166211104,TRUE
3,0.199269428054039,23.0794072601771,7.43145117296036,8.66076540216197,5.82185693794976,TRUE
4,16.6116478709365,19.4483736167591,17.7167745158759,17.835186922318,17.976404010689,TRUE
5,10.7643501187717,13.4869085941485,11.9954200297426,12.0571363172255,11.6475388590768,TRUE
6,5.56460607541428,5.92181290462581,5.72332961530935,5.73328455879443,5.89765807940992,TRUE
7,7.59323543470098,12.8276927176186,10.0219191171594,10.0967205970511,12.4371452621424,TRUE
8,0.199269428054039,16.9955395366585,6.47149325895111,7.2131951961912,13.6916235256461,TRUE
9,12.7863038881178,13.8281370427378,13.2756026274039,13.2831616295099,12.8789067582675,TRUE
10,0.199269428054039,10.9447658815629,5.19622860614697,5.35307646079529,8.47305806421822,TRUE
11,16.6116478709365,18.5013265389918,17.5298391440668,17.5449693481573,17.5589058422542,TRUE
12,11.5083610161286,12.7186809597991,12.1427433716923,12.1281526600739,11.9492161820572,TRUE
13,5.87853297372769,11.4587903720181,8.38024301476734,8.52571345482373,6.89379709729098,TRUE
14,15.265092728923,15.8389649866277,15.5386810759377,15.5443705481614,15.6246545907155,TRUE
15,8.14741168395924,11.2711692271362,9.69539535534023,9.71532127761071,9.77533195492385,TRUE
16,9.76519930419328,9.94839481772382,9.86751399797934,9.86117599590134,9.91904868450527,TRUE
17,14.6889285970514,16.3053366204121,14.8504372504185,15.3929245881077,14.7191810534265,TRUE
18,0.199269428054039,18.6445451915055,6.93808387828882,7.81681745393535,14.1061059754904,TRUE
19,10.6675149396233,13.2474543161859,11.857585335372,11.89879491219,12.9695066060875,TRUE
20,11.9193338987561,16.9335834024068,13.9978634794839,14.114255966404,14.5948868580411,TRUE
21,13.6696211525616,14.2913940344429,14.0406932007936,14.0110389424956,13.9106815036553,TRUE
22,10.3846428344882,12.5342454019222,11.2849811851595,11.343915699491,10.372824916826,FALSE
23,0.036221896075676,1.60356537193572,0.853790181556672,0.855190313230135,0.0532415206831356,TRUE
24,12.5621429182786,15.2024239095717,13.0681237949248,13.15318649692,13.0991287394736,TRUE
25,9.373609479462,9.97653923989263,9.66926819642572,9.67084753954407,9.719356302355,TRUE
26,9.21594512430564,9.25925461486542,9.2378438756822,9.23751040920321,9.22102246647335,TRUE
27,0.635488339107679,6.38857598908997,3.41055455692881,3.4572606734345,2.64623808050363,TRUE
28,0.183030069106329,8.98406199155833,4.44115826773786,4.43449744041148,7.6092497244569,TRUE
29,11.7576079728186,13.1148644532347,12.4295428069743,12.451465310688,12.0897078009985,TRUE
30,16.7235155970009,17.4361234068964,17.0769922969092,17.0636413271235,16.7933977576452,TRUE
31,4.30128022643098,9.72526676133675,6.71908023264356,6.79311898378847,9.48606136328502,TRUE
32,7.12623224493107,11.9380536807077,9.49853607232797,9.45337216891484,11.9383580577968,FALSE
33,9.42228471395251,10.1651050770469,9.76812674430489,9.79335050653955,9.73097479708547,TRUE
34,2.09642443874404,3.21379329495121,2.59873944355147,2.64212841110529,3.11470221585697,TRUE
35,0.199269428054039,7.76508730655695,3.87257541096991,3.89041943292867,7.9250271835016,FALSE
36,7.83971044639671,8.1743933005362,8.00034869451924,8.00503299219994,8.02855023144825,TRUE
37,8.96245397982582,9.98156119788979,9.51852716433458,9.46920519271141,9.70343301644407,TRUE
38,15.2101742556107,18.9996055322374,17.6514699288701,17.1946546438217,15.5001268599194,TRUE
39,13.6833527068557,14.4795591129098,14.1327928668314,14.1003821668176,13.8158787422877,TRUE
40,9.13866745162573,9.56816838863853,9.34680822694292,9.35438607819819,9.17738201873207,TRUE
41,8.54798166826187,21.1997591095187,9.07090191100047,10.1272035627407,8.73319159931746,TRUE
42,13.2353320660626,15.1913044804598,14.1536228204587,14.1505992894773,13.4848168770237,TRUE
43,12.7710185319069,13.935810514738,13.3053166232355,13.3239927706627,12.7833159933683,TRUE
44,4.46118149319122,6.8560435206358,5.66129894824856,5.62681128759615,6.5562215272524,TRUE
45,4.48580751794374,7.1608198314594,5.82578362126136,5.81058069322754,6.4625242151894,TRUE
46,2.28220949612944,11.913249699858,6.6619837505856,6.78962882513306,11.8229098106842,TRUE
47,0.199269428054039,17.7882133568928,6.78055848203327,7.48645413092414,13.8426646225771,TRUE
48,7.06704783623797,11.5283621255547,9.25672976918484,9.25791735775728,9.43826893924886,TRUE
49,11.7503054388963,15.4871715113074,13.3620353131806,13.4848968842641,14.4055386322711,TRUE
50,0.199269428054039,18.6445451915055,6.93808387828882,7.81681745393535,11.9905294018353,TRUE
51,0.183030069106329,9.57651569058248,4.64922870361373,4.71685094129259,6.93986803374614,TRUE
52,11.4373650140231,11.7636409718511,11.605468316275,11.603798365859,11.7055984571221,TRUE
53,0.111696774214365,4.7874646554423,2.39545438714416,2.4130533729324,4.35318451959604,TRUE
54,17.0520069288031,18.2720407003933,17.6437219644498,17.6512350203238,17.1651185085052,TRUE
55,19.4316504249253,20.0715378597855,19.7478018738002,19.7465425470687,19.9019994925293,TRUE
56,7.15074188522614,8.39211361572282,7.77602189017086,7.76412189189875,8.16389261766745,TRUE
57,3.36580351700162,5.81865418466412,4.5902384686758,4.5816467094563,4.77932686841735,TRUE
58,10.4331497358827,12.8706844795778,11.4886361334997,11.5345002348739,12.8485981372121,TRUE
59,0.199269428054039,11.0643154482438,5.19622860614697,5.37114155875655,9.32472698059588,TRUE
60,21.5673038364961,25.6426892121613,23.0842268094294,23.3415485653197,22.0080888025239,TRUE
61,8.35977136578828,11.7948097946864,10.011841157162,10.0204456370566,9.80379998633415,TRUE
62,4.47356686010978,16.3597158658207,9.25672976918484,9.5622724096982,13.4486968122539,TRUE
